sample	cancer_loc	nb_mut	true_nb_clones	true_purity	perc_dip	var_or_cst	median_depth	fitted_nb_clones	ll_ratio	pval	score1B	score1C	score2A	score2C_auc	score2C_accuracy	score2C_sensitivity	score2C_specificity	score2C_precision	score_sig_1A	score_sig_1B	score_sig_1C_auc	score_sig_1C_accuracy	score_sig_1C_sensitivity	score_sig_1C_specificity	score_sig_1C_precision	score_sig_1D	min_diff_distrib_mut	max_diff_distrib_mut	std_diff_distrib_mut	median_diff_distrib_mut	perc_dist_5	perc_dist_10	runtime	method
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	2.0			0.5	0.9515591754968292	0.4117368663820334	0.8973187278541179	0.9011328527291452	0.925589836660617	0.8690476190476191	0.925589836660617															16572.0	pyclone
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	4.0			0.8333333333333334	0.5656618544030348	0.0011849199487816119	0.5114002679111572	0.5638516992790937	0.9001814882032668	0.1226190476190476	0.9001814882032668															45.0	sciclone
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	2.0			0.5	0.9517473626939724	0.4129434138924095	0.8993874773139746	0.9026776519052524	0.9237749546279492	0.875	0.9237749546279492															370.0	ccube
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	2.0			0.5	0.9525635503979396	0.4178010407564143	0.9008026531846858	0.9026776519052524	0.9147005444646098	0.8869047619047619	0.9147005444646098															1095.0	dpclust
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	2.0			0.5	0.9517919670442844	0.4065254786125173	0.8972895601071644	0.9006179196704428	0.9219600725952812	0.8726190476190476	0.9219600725952812															516.0	phylogicndt
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	2.0	69.15622335231456	7.198748277135935e-11	0.5	0.956640250663295	0.4260370847607633	0.9042617319159968	0.9062821833161688	0.9192377495462796	0.8892857142857142	0.9192377495462796	0.017827596167459842	0.01228867051164575	1.0	0.9692307692307692	0.8571428571428571	0.9661016949152542	0.6666666666666666	0.7245108135942327	0.002993620323783919	0.26044094190669764	0.0753677428486501	0.02934335955682998	0.8089598352214212	0.8089598352214212	87.5378942489624	clonesig
2	Liver-HCC	1942	5	0.67	1.0	var	37.0												0.027408506947406503	0.025288595672501683	0.9166666666666669	0.9846153846153848	0.7142857142857143	1.0	0.8333333333333334	0.7322348094747683	0.00367435036639141	0.388094779655816	0.113794559191206	0.014850612560073584	0.8089598352214212	0.8089598352214212	1.3190507888793899	deconstructsigs
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	2.0			0.5	0.8161205987883556	0.2944815127477947	0.7848532970356927	0.756951596292482	0.5780399274047187	0.9916666666666668	0.5780399274047187	0.02383785208926896	0.014783087430189088	1.0	0.9846153846153848	0.7142857142857143	1.0	0.8333333333333334	0.733264675592173	0.001941662054242954	0.4372015887028309	0.0800914443728802	0.01918135459821091	0.8089598352214212	0.8089598352214212	0.928986549377441	palimpsest
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	1.0			0.3333333333333333	0.7091168797632299	0.0	0.5	0.42	0.0	1.0	0.0	0.01765902958515157	0.01060638964775314	1.0	0.9692307692307692	0.8571428571428571	0.9661016949152542	0.6666666666666666	0.7289473684210527	0.008503801957269186	0.3412335842521101	0.09873332413266599	0.01331009774062375	0.81	0.81	28.43223476409911	tracksig
2	Liver-HCC	1942	5	0.67	1.0	var	37.0	1.0			0.3333333333333333	0.7221319367368374	0.0	0.5	0.4421052631578947	0.0	1.0	0.0	0.017888761367681395	0.010963832661545304	1.0	0.9692307692307692	0.8571428571428571	0.9661016949152542	0.6666666666666666	0.7289473684210527	0.007885062439360935	0.34565049965584194	0.1009392626970598	0.01316268627344852	0.8089473684210526	0.8089473684210526	20.8205771446228	tracksigfreq
