id	filename	md5	size	state
6e7fcfac-b069-40ad-a617-5bd08c9e589f	TCGA.BLCA.varscan.6e7fcfac-b069-40ad-a617-5bd08c9e589f.DR-10.0.protected.maf.gz	1dbcf489fb3c5871f7dd4e0d51e7ab21	111944661	released
a19f6c84-daea-409c-81aa-56bb32fd8db7	TCGA.PAAD.muse.a19f6c84-daea-409c-81aa-56bb32fd8db7.DR-10.0.protected.maf.gz	85d99b40a752af02842af8635fa8c962	23639752	released
421e3956-c800-4e61-a1c8-d097b93b9a17	TCGA.MESO.muse.421e3956-c800-4e61-a1c8-d097b93b9a17.DR-10.0.protected.maf.gz	deef2e3374312548030a31e87513b710	5388042	released
e3ad739d-6baa-4c42-a6f7-786d069239c1	TCGA.CHOL.varscan.e3ad739d-6baa-4c42-a6f7-786d069239c1.DR-10.0.somatic.maf.gz	1040c97a0739159a229525c8a779e1db	1238126	released
81ac2c46-37db-4dcd-923a-061a7ae626a3	TCGA.ACC.mutect.81ac2c46-37db-4dcd-923a-061a7ae626a3.DR-10.0.somatic.maf.gz	cea18c8b52d7fb505bd36886446d250e	2666716	released
28164436-36d5-4a5e-8ae5-a55abc216348	TCGA.ACC.mutect.28164436-36d5-4a5e-8ae5-a55abc216348.DR-10.0.protected.maf.gz	f87475ccf932a4de0daccf5d5af409cc	90328719	released
c3df46a9-85d1-45d4-954a-825313d4a26d	TCGA.DLBC.mutect.c3df46a9-85d1-45d4-954a-825313d4a26d.DR-10.0.somatic.maf.gz	0004d0ace173348526956cf1b0400f96	1640535	released
7837f512-39c2-4c7c-a338-43e51a54701c	TCGA.CHOL.muse.7837f512-39c2-4c7c-a338-43e51a54701c.DR-10.0.somatic.maf.gz	18440ef2d21feb668683c9014ee7d00b	940692	released
713288d3-66d0-4f28-8855-a6c60b0e1fad	TCGA.SKCM.mutect.713288d3-66d0-4f28-8855-a6c60b0e1fad.DR-10.0.protected.maf.gz	14400edaab2996168a393dbec3bf2590	1296308163	released
ce09a9b4-a689-41d4-b457-648e504e6384	TCGA.LUSC.varscan.ce09a9b4-a689-41d4-b457-648e504e6384.DR-10.0.protected.maf.gz	06bae62e313d4a22f1b4267bf39d0e5e	177085033	released
aa5eb12e-6074-442a-9ff8-281b921e7d96	TCGA.KIRP.varscan.aa5eb12e-6074-442a-9ff8-281b921e7d96.DR-10.0.somatic.maf.gz	29b69b7ddf497f197dccaba839f184c1	5977730	released
76313658-c6df-4f73-8e04-affdbb0013bd	TCGA.LGG.somaticsniper.76313658-c6df-4f73-8e04-affdbb0013bd.DR-10.0.somatic.maf.gz	16ff21347da0f6cd8b274974f1298db4	6030917	released
6c93f518-1956-4435-9806-37185266d248	TCGA.BRCA.varscan.6c93f518-1956-4435-9806-37185266d248.DR-10.0.somatic.maf.gz	23f303806e40f6f30fc52b5a9c6eb327	24161125	released
79ace941-396e-4fde-a759-581219a1cd34	TCGA.LGG.varscan.79ace941-396e-4fde-a759-581219a1cd34.DR-10.0.protected.maf.gz	a51198848202f7eac57a6d88089bab8c	57092889	released
cf681594-4935-45f2-a7bd-d02533d91bc9	TCGA.LGG.muse.cf681594-4935-45f2-a7bd-d02533d91bc9.DR-10.0.protected.maf.gz	679234aac38ba16716df556c0c47e0e7	36168570	released
bd3cdd86-a5ce-43dc-92b2-9c2c3105d1df	TCGA.SARC.varscan.bd3cdd86-a5ce-43dc-92b2-9c2c3105d1df.DR-10.0.somatic.maf.gz	340d3b45907eeafd9ec7ca9a9914f8c2	6142767	released
cc207fe8-ee0a-4b65-82cb-c8197d264126	TCGA.SARC.mutect.cc207fe8-ee0a-4b65-82cb-c8197d264126.DR-10.0.somatic.maf.gz	3156e9452d2b0e7c2da85729528a08d0	6864973	released
053f01ed-3154-4aea-9e7f-932c435034b3	TCGA.BRCA.mutect.053f01ed-3154-4aea-9e7f-932c435034b3.DR-10.0.protected.maf.gz	ae12bbce7abcc03eff228935fa8d3d22	1882061658	released
e7a5dc03-a920-4727-956e-2f5b5aaad9a5	TCGA.READ.somaticsniper.e7a5dc03-a920-4727-956e-2f5b5aaad9a5.DR-10.0.protected.maf.gz	ac5a785c0c05dba6961fc3f53dec6502	568478161	released
d3fa70be-520a-420e-bb6d-651aeee5cb50	TCGA.UCEC.mutect.d3fa70be-520a-420e-bb6d-651aeee5cb50.DR-10.0.somatic.maf.gz	379907520faed335990cd27dae895559	194842948	released
59a84472-27d4-497c-8f37-8bc447ff9374	TCGA.GBM.muse.59a84472-27d4-497c-8f37-8bc447ff9374.DR-10.0.somatic.maf.gz	c5789567214d2a1bc774d00402fa4a8f	12586528	released
bf72ffef-d8c4-423d-9c5a-7bb5c23b2f31	TCGA.KIRC.varscan.bf72ffef-d8c4-423d-9c5a-7bb5c23b2f31.DR-10.0.protected.maf.gz	c1dc1f28fa0f83076f108ee02ae42fa4	74824233	released
0db6e97d-4081-440a-940a-7f5d5c26b2dd	TCGA.GBM.somaticsniper.0db6e97d-4081-440a-940a-7f5d5c26b2dd.DR-10.0.protected.maf.gz	72c2c6c2d38fe933ab2e9481ad20e5eb	164852885	released
b22b85eb-2ca8-4c9f-a1cd-b77caab999bd	TCGA.OV.mutect.b22b85eb-2ca8-4c9f-a1cd-b77caab999bd.DR-10.0.somatic.maf.gz	55fb10dd3d1d9ed7767ad6f272d350b7	19728966	released
1e0088e7-3473-438c-822e-38efcdc20771	TCGA.LUAD.somaticsniper.1e0088e7-3473-438c-822e-38efcdc20771.DR-10.0.protected.maf.gz	6875b27781e5f46cac13337feb7aab56	395015686	released
45568ab0-1622-4871-89bc-ca16038d33ef	TCGA.PCPG.mutect.45568ab0-1622-4871-89bc-ca16038d33ef.DR-10.0.protected.maf.gz	4ec1f4f10fb74205bb46203283d78dcb	101519360	released
51423d79-e9c5-4c4d-b12c-99c1338dbd43	TCGA.OV.muse.51423d79-e9c5-4c4d-b12c-99c1338dbd43.DR-10.0.somatic.maf.gz	fe3f8b0a78a89c60c3e4e8fe29974030	9334333	released
a8f41106-633d-4027-9e1f-e73bfd48f11e	TCGA.OV.varscan.a8f41106-633d-4027-9e1f-e73bfd48f11e.DR-10.0.somatic.maf.gz	37558620013eb0b69060d157aef420b9	9935707	released
5296cf00-4d8c-4db3-80d7-930a4b44f90d	TCGA.HNSC.varscan.5296cf00-4d8c-4db3-80d7-930a4b44f90d.DR-10.0.somatic.maf.gz	d90fbd1392ab050f75b91168ad93cf0c	22236909	released
